"Team","Conference","YUSAG_Coefficient","rank"
"Purdue","Big 10",25.87,1
"Villanova","Big East",25.33,2
"Duke","ACC",23.75,3
"Michigan St.","Big 10",22.9,4
"Virginia","ACC",20.99,5
"Gonzaga","WCC",20.01,6
"West Virginia","Big 12",19.62,7
"Kansas","Big 12",19.54,8
"North Carolina","ACC",19.18,9
"Cincinnati","AAC",17.75,10
"Texas Tech","Big 12",17.53,11
"Ohio St.","Big 10",17.12,12
"Creighton","Big East",16.59,13
"Tennessee","SEC",16.43,14
"Xavier","Big East",16.39,15
"Clemson","ACC",16.23,16
"Wichita St.","AAC",15.87,17
"Oklahoma","Big 12",15.81,18
"Auburn","SEC",15.53,19
"Florida St.","ACC",15.39,20
"TCU","Big 12",14.8,21
"Arizona","Pac 12",14.5,22
"Arizona St.","Pac 12",14.47,23
"Florida","SEC",14.37,24
"Michigan","Big 10",14.09,25
"Nevada","MWC",13.89,26
"Butler","Big East",13.75,27
"Saint Mary's (CA)","WCC",13.73,28
"Notre Dame","ACC",13.61,29
"Texas A&M","SEC",13.37,30
"Rhode Island","A-10",13.3,31
"Arkansas","SEC",13.21,32
"Baylor","Big 12",13.15,33
"Louisville","ACC",13.14,34
"Missouri","SEC",13.14,35
"Miami (FL)","ACC",13.07,36
"Kentucky","SEC",12.85,37
"Maryland","Big 10",12.73,38
"Houston","AAC",12.65,39
"Seton Hall","Big East",12.48,40
"Kansas St.","Big 12",12.29,41
"SMU","AAC",12.17,42
"Marquette","Big East",12.06,43
"Boise St.","MWC",11.73,44
"Southern California","Pac 12",11.12,45
"New Mexico St.","WAC",11.03,46
"Texas","Big 12",11.01,47
"Virginia Tech","ACC",10.96,48
"Western Ky.","C-USA",10.57,49
"Louisiana","Sunbelt",10.4,50
"San Diego St.","MWC",10.3,51
"Penn St.","Big 10",10.29,52
"BYU","WCC",10.12,53
"LSU","SEC",10.1,54
"North Carolina St.","ACC",9.95,55
"Syracuse","ACC",9.88,56
"Providence","Big East",9.79,57
"Alabama","SEC",9.63,58
"ETSU","Southern",9.39,59
"Middle Tenn.","C-USA",9.31,60
"Northern Ky.","Horizon",9.27,61
"Northwestern","Big 10",9.26,62
"Davidson","A-10",9.04,63
"UCLA","Pac 12",9.02,64
"Oregon","Pac 12",8.87,65
"Oklahoma St.","Big 12",8.69,66
"St. Bonaventure","A-10",8.61,67
"South Dakota St.","Summit",8.55,68
"Boston College","ACC",8.53,69
"Georgia","SEC",8.53,70
"Old Dominion","C-USA",8.28,71
"Buffalo","MAC",8.22,72
"Montana","Big Sky",8.17,73
"Murray St.","OVC",7.88,74
"Mississippi St.","SEC",7.85,75
"Nebraska","Big 10",7.76,76
"Minnesota","Big 10",7.65,77
"UNLV","MWC",7.51,78
"South Carolina","SEC",7.48,79
"Wake Forest","ACC",7.48,80
"South Dakota","Summit",7.4,81
"St. John's (NY)","Big East",7.25,82
"UAB","C-USA",7.17,83
"Utah","Pac 12",7.16,84
"Fresno St.","MWC",7.05,85
"Wisconsin","Big 10",6.8,86
"Vermont","Am. East",6.75,87
"Ole Miss","SEC",6.57,88
"Missouri St.","MVC",6.3,89
"Indiana","Big 10",6.24,90
"Grand Canyon","WAC",6.02,91
"Illinois","Big 10",5.97,92
"Iowa","Big 10",5.72,93
"Furman","Southern",5.59,94
"Portland St.","Big Sky",5.51,95
"Loyola Chicago","MVC",5.43,96
"Washington","Pac 12",5.41,97
"Belmont","OVC",5.37,98
"Stanford","Pac 12",5.28,99
"Vanderbilt","SEC",5.27,100
"Iowa St.","Big 12",5.26,101
"Temple","AAC",5.15,102
"UC Santa Barbara","Big West",5.11,103
"Rutgers","Big 10",5.03,104
"Utah Valley","WAC",4.97,105
"UNI","MVC",4.73,106
"Oregon St.","Pac 12",4.71,107
"UCF","AAC",4.65,108
"UT Arlington","Sunbelt",4.59,109
"Bucknell","Patriot",4.46,110
"Toledo","MAC",4.36,111
"Towson","CAA",4.1,112
"New Mexico","MWC",4.09,113
"Princeton","Ivy",4.04,114
"DePaul","Big East",4.03,115
"Wyoming","MWC",3.93,116
"Georgetown","Big East",3.82,117
"Iona","MAAC",3.8,118
"Georgia Tech","ACC",3.75,119
"Colorado","Pac 12",3.74,120
"Northeastern","CAA",3.69,121
"Idaho","Big Sky",3.49,122
"Marshall","C-USA",3.33,123
"San Diego","WCC",3.24,124
"SFA","Southland",3.2,125
"Rider","MAAC",3.13,126
"Tulane","AAC",3.13,127
"Indiana St.","MVC",3.07,128
"Tulsa","AAC",3.06,129
"UNCG","Southern",3.01,130
"FGCU","A-Sun",2.91,131
"Georgia St.","Sunbelt",2.9,132
"UC Davis","Big West",2.71,133
"Dayton","A-10",2.63,134
"Ga. Southern","Sunbelt",2.57,135
"Mercer","Southern",2.39,136
"Canisius","MAAC",2.32,137
"Northern Colo.","Big Sky",2.2,138
"Bradley","MVC",2.14,139
"Washington St.","Pac 12",2.02,140
"North Dakota St.","Summit",1.97,141
"Penn","Ivy",1.96,142
"Wright St.","Horizon",1.91,143
"Saint Joseph's","A-10",1.81,144
"VCU","A-10",1.78,145
"Hofstra","CAA",1.63,146
"San Francisco","WCC",1.57,147
"Louisiana Tech","C-USA",1.51,148
"Wofford","Southern",1.51,149
"Winthrop","Big South",1.5,150
"Col. of Charleston","CAA",1.24,151
"Southern Ill.","MVC",1.23,152
"La Salle","A-10",1.21,153
"Utah St.","MWC",1.2,154
"Valparaiso","MVC",1.18,155
"Weber St.","Big Sky",0.95,156
"Oakland","Horizon",0.93,157
"Drake","MVC",0.9,158
"Memphis","AAC",0.76,159
"Troy","Sunbelt",0.61,160
"William & Mary","CAA",0.59,161
"Saint Louis","A-10",0.58,162
"Duquesne","A-10",0.47,163
"Eastern Wash.","Big Sky",0.47,164
"Albany (NY)","Am. East",0.43,165
"UConn","AAC",0.09,166
"Jacksonville St.","OVC",0.08,167
"Hawaii","Big West",0.02,168
"Central Mich.","MAC",-0.14,169
"North Texas","C-USA",-0.33,170
"Cal St. Fullerton","Big West",-0.35,171
"Radford","Big South",-0.37,172
"Monmouth","MAAC",-0.62,173
"Evansville","MVC",-0.64,174
"UMBC","Am. East",-0.66,175
"Fort Wayne","Summit",-0.72,176
"Pacific","WCC",-0.81,177
"Ball St.","MAC",-0.83,178
"UC Irvine","Big West",-1.26,179
"Harvard","Ivy",-1.27,180
"Lipscomb","A-Sun",-1.31,181
"Saint Peter's","MAAC",-1.32,182
"Massachusetts","A-10",-1.35,183
"Illinois St.","MVC",-1.45,184
"Central Ark.","Southland",-1.5,185
"Robert Morris","NEC",-1.56,186
"Army West Point","Patriot",-1.59,187
"Ohio","MAC",-1.71,188
"Western Mich.","MAC",-1.71,189
"Nicholls St.","Southland",-1.8,190
"Richmond","A-10",-1.84,191
"UTSA","C-USA",-2,192
"Liberty","Big South",-2.01,193
"Seattle U","WAC",-2.04,194
"Wagner","NEC",-2.08,195
"Saint Francis (PA)","NEC",-2.12,196
"Colorado St.","MWC",-2.17,197
"Elon","CAA",-2.18,198
"Sam Houston St.","Southland",-2.27,199
"Stony Brook","Am. East",-2.28,200
"Yale","Ivy",-2.42,201
"Coastal Caro.","Sunbelt",-2.6,202
"Austin Peay","OVC",-2.65,203
"Eastern Mich.","MAC",-2.73,204
"George Washington","A-10",-2.97,205
"Lamar University","Southland",-2.99,206
"Oral Roberts","Summit",-3.14,207
"Texas Southern","SWAC",-3.14,208
"High Point","Big South",-3.21,209
"Pittsburgh","ACC",-3.23,210
"Manhattan","MAAC",-3.27,211
"Fairfield","MAAC",-3.34,212
"Southern Miss.","C-USA",-3.45,213
"Texas St.","Sunbelt",-3.51,214
"Southeastern La.","Southland",-3.67,215
"Miami (OH)","MAC",-3.7,216
"Brown","Ivy",-3.85,217
"UNC Asheville","Big South",-3.86,218
"Columbia","Ivy",-3.9,219
"Kent St.","MAC",-3.96,220
"UTRGV","WAC",-4,221
"Long Beach St.","Big West",-4.02,222
"Boston U.","Patriot",-4.03,223
"Abilene Christian","Southland",-4.07,224
"Loyola Marymount","WCC",-4.12,225
"Colgate","Patriot",-4.2,226
"Hartford","Am. East",-4.27,227
"South Ala.","Sunbelt",-4.31,228
"California","Pac 12",-4.37,229
"FIU","C-USA",-4.48,230
"Niagara","MAAC",-4.51,231
"George Mason","A-10",-4.57,232
"Idaho St.","Big Sky",-4.69,233
"North Dakota","Big Sky",-4.76,234
"New Orleans","Southland",-4.78,235
"Bowling Green","MAC",-4.83,236
"Appalachian St.","Sunbelt",-4.84,237
"Ill.-Chicago","Horizon",-4.85,238
"New Hampshire","Am. East",-5.02,239
"NJIT","A-Sun",-5.15,240
"Tennessee Tech","OVC",-5.16,241
"Fla. Atlantic","C-USA",-5.36,242
"UTEP","C-USA",-5.36,243
"Southeast Mo. St.","OVC",-5.49,244
"James Madison","CAA",-5.52,245
"Akron","MAC",-5.65,246
"Tennessee St.","OVC",-5.74,247
"Milwaukee","Horizon",-5.77,248
"Air Force","MWC",-5.84,249
"Sacramento St.","Big Sky",-6.08,250
"Montana St.","Big Sky",-6.11,251
"Navy","Patriot",-6.19,252
"Fordham","A-10",-6.26,253
"Campbell","Big South",-6.31,254
"Denver","Summit",-6.31,255
"Northern Ill.","MAC",-6.41,256
"Binghamton","Am. East",-6.76,257
"Prairie View","SWAC",-6.86,258
"Lehigh","Patriot",-6.92,259
"Omaha","Summit",-6.98,260
"Gardner-Webb","Big South",-7.04,261
"UC Riverside","Big West",-7.06,262
"Eastern Ill.","OVC",-7.15,263
"Portland","WCC",-7.18,264
"Hampton","MEAC",-7.28,265
"Delaware","CAA",-7.3,266
"Siena","MAAC",-7.38,267
"Little Rock","Sunbelt",-7.55,268
"Lafayette","Patriot",-7.6,269
"Morehead St.","OVC",-7.64,270
"CSU Bakersfield","WAC",-7.65,271
"Southern Utah","Big Sky",-7.89,272
"N.C. Central","MEAC",-7.9,273
"Santa Clara","WCC",-7.92,274
"Drexel","CAA",-8,275
"Arkansas St.","Sunbelt",-8.01,276
"Cal Poly","Big West",-8.23,277
"McNeese","Southland",-8.25,278
"Dartmouth","Ivy",-8.33,279
"Central Conn. St.","NEC",-8.36,280
"LIU Brooklyn","NEC",-8.57,281
"Mt. St. Mary's","NEC",-8.58,282
"Samford","Southern",-8.6,283
"La.-Monroe","Sunbelt",-8.65,284
"N.C. A&T","MEAC",-8.66,285
"St. Francis Brooklyn","NEC",-8.67,286
"Pepperdine","WCC",-8.7,287
"Fairleigh Dickinson","NEC",-8.74,288
"Charlotte","C-USA",-8.85,289
"UNCW","CAA",-8.85,290
"IUPUI","Horizon",-8.96,291
"Quinnipiac","MAAC",-9.12,292
"Loyola Maryland","Patriot",-9.16,293
"Cornell","Ivy",-9.17,294
"Western Caro.","Southern",-9.36,295
"Rice","C-USA",-9.41,296
"Sacred Heart","NEC",-9.43,297
"UT Martin","OVC",-9.46,298
"Eastern Ky.","OVC",-9.48,299
"Chattanooga","Southern",-9.49,300
"Grambling","SWAC",-9.82,301
"Charleston So.","Big South",-9.91,302
"Stetson","A-Sun",-9.93,303
"San Jose St.","MWC",-9.95,304
"UMKC","WAC",-10.11,305
"Holy Cross","Patriot",-10.13,306
"Norfolk St.","MEAC",-10.14,307
"A&M-Corpus Chris","Southland",-10.16,308
"East Carolina","AAC",-10.19,309
"Green Bay","Horizon",-10.29,310
"Cleveland St.","Horizon",-10.34,311
"Marist","MAAC",-10.41,312
"Youngstown St.","Horizon",-10.45,313
"Southern U.","SWAC",-10.55,314
"Detroit Mercy","Horizon",-10.68,315
"North Florida","A-Sun",-10.7,316
"Ark.-Pine Bluff","SWAC",-10.91,317
"Western Ill.","Summit",-11.06,318
"Bethune-Cookman","MEAC",-11.33,319
"American","Patriot",-11.42,320
"SIUE","OVC",-11.47,321
"Kennesaw St.","A-Sun",-11.57,322
"UMass Lowell","Am. East",-11.79,323
"Houston Baptist","Southland",-11.95,324
"CSUN","Big West",-12.45,325
"Presbyterian","Big South",-12.54,326
"Maine","Am. East",-12.56,327
"Morgan St.","MEAC",-12.56,328
"Northern Ariz.","Big Sky",-12.73,329
"Jacksonville","A-Sun",-12.8,330
"South Fla.","AAC",-12.92,331
"VMI","Southern",-13.08,332
"Howard","MEAC",-13.48,333
"Jackson St.","SWAC",-13.55,334
"Incarnate Word","Southland",-13.57,335
"Savannah St.","MEAC",-13.73,336
"Bryant","NEC",-14.52,337
"The Citadel","Southern",-15.63,338
"Alcorn","SWAC",-16.08,339
"USC Upstate","A-Sun",-16.29,340
"Florida A&M","MEAC",-16.66,341
"Alabama St.","SWAC",-17.07,342
"Longwood","Big South",-17.19,343
"South Carolina St.","MEAC",-18.16,344
"Northwestern St.","Southland",-18.34,345
"Coppin St.","MEAC",-18.56,346
"Alabama A&M","SWAC",-19.37,347
"Mississippi Val.","SWAC",-19.83,348
"UMES","MEAC",-20.58,349
"Chicago St.","WAC",-20.67,350
"Delaware St.","MEAC",-22.29,351
