"team","conf","yusag_coeff","sor","wab","qual_bonus","yusag_rank","sor_rank","resume_rank","wab_rank","mid_major","loss_bonus","wins","losses","blend","avg","odds","seed","autobid"
"Xavier","Big East",11.2636484831494,-4.1666,-0.480888888888889,52.184,57,62,41,45,FALSE,FALSE,16.968,10.032,48.65,51.25,64.34,6.94420406245144,FALSE
"Wichita St.","AAC",9.78919191666698,-3.23772,-0.720999999999999,45.384,67,44,43,51,FALSE,FALSE,15.114,6.886,50.15,51.25,59.42,7.0055791308229,FALSE
"St. Bonaventure","A-10",12.4085967994804,-2.61212,-0.258444444444444,41.387,46,34,45,41,TRUE,FALSE,22.515,5.485,43.1,41.5,52.24,9.75572821617766,FALSE
"SMU","AAC",9.26533691428717,-3.6636,-1.25444444444444,20.642,71,52,54,60,FALSE,FALSE,16.799,7.201,58.7,59.25,30.82,7.3554170205402,FALSE
"Ole Miss","SEC",11.6311185749949,-6.44272,-3.10944444444444,27.453,54,94,49,74,FALSE,FALSE,16.481,11.519,60.125,67.75,26.76,7.41372333549308,FALSE
"Indiana","Big 10",15.5464223522975,-3.7502,0.612555555555555,16.34,26,54,57,33,FALSE,FALSE,13.417,13.583,45.8,42.5,18.2125,6.82759143254568,FALSE
"Memphis","AAC",11.4463954912768,-6.16168,-3.35355555555556,11.066,56,90,59,78,FALSE,FALSE,16.854,10.146,65.275,70.75,15.14,7.62444440356841,FALSE
"Georgia","SEC",7.37693938638967,-4.85416,-1.908,20.526,86,71,55,64,FALSE,FALSE,15.117,9.883,66.275,69,13.44,7.66536111581605,FALSE
"Drake","MVC",9.55333851838978,-1.40404,0.0166666666666665,26.98,68,20,50,40,TRUE,TRUE,23.11,2.89,48.75,44.5,12.73,8.94089990574373,FALSE
"Richmond","A-10",11.8207787182825,-3.39432,-0.647000000000001,30.636,52,48,47,50,TRUE,FALSE,19.796,7.204,48.775,49.25,12.69,11.1015369184904,FALSE
"St. John's (NY)","Big East",11.4835051379657,-6.98184,-2.84633333333333,3.18500000000002,55,103,61,70,FALSE,FALSE,18.113,13.887,66.925,72.25,12.42,7.69195697877702,FALSE
"Boise St.","MWC",9.9019299748819,-2.80484,-0.807555555555554,25.083,64,38,53,52,TRUE,FALSE,19.911,6.089,53.375,51.75,7.12,11.2897537948295,FALSE
"Penn St.","Big 10",13.5841316508695,-4.94708,-0.873777777777777,-20.184,37,73,73,55,FALSE,FALSE,10.643,14.357,61.75,59.5,5.6425,7.48021299289549,FALSE
"Michigan St.","Big 10",11.8138529251308,-3.75452,0.700222222222223,-33.32,53,56,81,32,FALSE,FALSE,14.034,13.966,64.125,55.5,4.33,7.57739018448363,FALSE
"Providence","Big East",10.5880166534907,-6.093,-2.17177777777778,10.536,61,87,60,66,FALSE,FALSE,13.353,12.647,65.05,68.5,3.8875,7.6152381433127,FALSE
"Colorado St.","MWC",8.13787940406047,-3.68076,-1.55911111111111,25.138,80,53,52,62,TRUE,FALSE,21.146,6.854,60.4,61.75,2.8,11.5771936983692,FALSE
