"team","rpi","rpi_rank"
"Duke",0.6691,1
"Kansas",0.646,2
"Gonzaga",0.6453,3
"Michigan St.",0.6411,4
"Nevada",0.626,5
"Cincinnati",0.6248,6
"North Carolina",0.6242,7
"Auburn",0.6228,8
"Buffalo",0.6227,9
"Virginia",0.6218,10
"Oklahoma",0.6214,11
"Tennessee",0.6176,12
"Virginia Tech",0.6165,13
"Creighton",0.6154,14
"Mississippi St.",0.6121,15
"Texas Tech",0.6109,16
"Houston",0.61,17
"Kentucky",0.6061,18
"TCU",0.6055,19
"Michigan",0.6049,20
"Ohio St.",0.5974,21
"Iowa St.",0.5953,22
"Nebraska",0.5952,23
"UCF",0.5947,24
"Purdue",0.5907,25
"Florida St.",0.5901,26
"Villanova",0.5894,27
"Maryland",0.5875,28
"Ball St.",0.586,29
"Texas",0.5854,30
"San Francisco",0.5849,31
"Marquette",0.5845,32
"Florida",0.5844,33
"Wofford",0.5835,34
"LSU",0.5828,35
"VCU",0.5818,36
"Toledo",0.5815,37
"Seton Hall",0.581,38
"Indiana",0.5787,39
"St. John's (NY)",0.5784,40
"Louisville",0.5783,41
"Arizona",0.5782,42
"Washington",0.5747,43
"Col. of Charleston",0.574,44
"Wisconsin",0.5715,45
"Utah St.",0.571,46
"Murray St.",0.5708,47
"Montana",0.5707,48
"Dayton",0.5702,49
"Butler",0.57,50
"Hofstra",0.5694,51
"Saint Mary's (CA)",0.5694,52
"Clemson",0.569,53
"Harvard",0.5678,54
"Belmont",0.5675,55
"NC State",0.5669,56
"Yale",0.5669,57
"Lipscomb",0.5666,58
"Temple",0.5666,59
"ETSU",0.5661,60
"New Mexico St.",0.5657,61
"UNC Greensboro",0.5643,62
"Arizona St.",0.5638,63
"Alabama",0.5626,64
"Vermont",0.5621,65
"Drake",0.5617,66
"Memphis",0.5606,67
"Furman",0.5604,68
"Georgia St.",0.5578,69
"Brown",0.5567,70
"Ga. Southern",0.5563,71
"Utah Valley",0.556,72
"North Texas",0.5558,73
"Oregon",0.5546,74
"San Diego",0.5544,75
"Syracuse",0.5541,76
"Loyola Chicago",0.5536,77
"Minnesota",0.5529,78
"UCLA",0.5528,79
"Texas St.",0.5524,80
"Rhode Island",0.5519,81
"Louisiana Tech",0.5516,82
"Ole Miss",0.5513,83
"Holy Cross",0.5511,84
"Arkansas",0.5502,85
"Fresno St.",0.546,86
"UC Irvine",0.546,87
"Saint Louis",0.5449,88
"Western Ky.",0.5436,89
"Stony Brook",0.5425,90
"Providence",0.5419,91
"Samford",0.5414,92
"Davidson",0.5407,93
"Radford",0.5403,94
"Bucknell",0.5401,95
"Austin Peay",0.5399,96
"Kansas St.",0.5392,97
"Marshall",0.5389,98
"Liberty",0.5376,99
"Northeastern",0.537,100
"Xavier",0.537,101
"West Virginia",0.5369,102
"Iowa",0.5367,103
"NJIT",0.5367,104
"Indiana St.",0.5345,105
"Northern Ky.",0.5342,106
"BYU",0.5328,107
"Southern Ill.",0.5326,108
"Old Dominion",0.5325,109
"South Dakota St.",0.5306,110
"Grand Canyon",0.5293,111
"Miami (FL)",0.5285,112
"Lehigh",0.5279,113
"SMU",0.5275,114
"Penn",0.5273,115
"Colorado",0.5264,116
"Baylor",0.5263,117
"San Diego St.",0.5261,118
"Georgetown",0.526,119
"Kent St.",0.526,120
"Jacksonville St.",0.5258,121
"Miami (OH)",0.5249,122
"Wichita St.",0.5249,123
"Penn St.",0.5248,124
"UC Santa Barbara",0.5239,125
"Tulsa",0.5235,126
"Oregon St.",0.5217,127
"Seattle U",0.5215,128
"UConn",0.5209,129
"Vanderbilt",0.5208,130
"Akron",0.5207,131
"Ohio",0.5202,132
"Winthrop",0.5201,133
"Northern Colo.",0.52,134
"Weber St.",0.5183,135
"Wagner",0.5182,136
"South Fla.",0.5175,137
"Oklahoma St.",0.5168,138
"Missouri",0.5167,139
"Evansville",0.5159,140
"La.-Monroe",0.5159,141
"UTSA",0.515,142
"Colgate",0.5145,143
"Purdue Fort Wayne",0.5143,144
"Southern California",0.5141,145
"Northwestern",0.5136,146
"CSU Bakersfield",0.5133,147
"Rider",0.513,148
"Georgia",0.5128,149
"Loyola Marymount",0.5122,150
"Hartford",0.5109,151
"Notre Dame",0.5108,152
"Pittsburgh",0.5092,153
"The Citadel",0.5091,154
"Abilene Christian",0.5079,155
"Georgia Tech",0.5069,156
"Boston College",0.5065,157
"Louisiana",0.5056,158
"Massachusetts",0.5053,159
"Gardner-Webb",0.5038,160
"Northern Ill.",0.5036,161
"Green Bay",0.5034,162
"SFA",0.5033,163
"Central Mich.",0.5024,164
"Southern Miss.",0.5023,165
"UAB",0.5019,166
"Saint Francis (PA)",0.5016,167
"Princeton",0.5,168
"Saint Joseph's",0.4998,169
"Texas Southern",0.499,170
"Pacific",0.4989,171
"Rutgers",0.4979,172
"Utah",0.4976,173
"California Baptist",0.4971,174
"Stanford",0.4969,175
"Idaho St.",0.4951,176
"Troy",0.4946,177
"UMass Lowell",0.4943,178
"Texas A&M",0.4935,179
"Coastal Caro.",0.4934,180
"North Florida",0.4934,181
"George Mason",0.4932,182
"Fla. Atlantic",0.4915,183
"IUPUI",0.4903,184
"UTRGV",0.4903,185
"FIU",0.4902,186
"Bowling Green",0.4897,187
"Mercer",0.4892,188
"Duquesne",0.489,189
"Eastern Mich.",0.489,190
"Boise St.",0.4885,191
"Cal St. Fullerton",0.4869,192
"Omaha",0.4847,193
"Hawaii",0.4846,194
"Wake Forest",0.4844,195
"Canisius",0.4842,196
"Presbyterian",0.4841,197
"LIU Brooklyn",0.4834,198
"Wright St.",0.4832,199
"Dartmouth",0.4827,200
"American",0.4823,201
"North Dakota St.",0.4823,202
"New Mexico",0.4817,203
"Illinois",0.4807,204
"UNLV",0.4806,205
"Santa Clara",0.4804,206
"Detroit Mercy",0.4794,207
"William & Mary",0.4783,208
"Boston U.",0.4781,209
"South Carolina",0.4781,210
"Delaware",0.478,211
"UNI",0.4766,212
"Arkansas St.",0.4747,213
"DePaul",0.4744,214
"Illinois St.",0.473,215
"Houston Baptist",0.4729,216
"Pepperdine",0.4727,217
"St. Bonaventure",0.4725,218
"Western Mich.",0.4725,219
"Eastern Ky.",0.4719,220
"Sacred Heart",0.4716,221
"UNCW",0.4712,222
"Oakland",0.4707,223
"Sam Houston St.",0.4699,224
"FGCU",0.4698,225
"Morehead St.",0.4691,226
"St. Francis Brooklyn",0.469,227
"Grambling",0.4689,228
"Central Conn. St.",0.4688,229
"Lamar University",0.4678,230
"Cornell",0.4676,231
"Sacramento St.",0.4676,232
"Marist",0.4657,233
"UMKC",0.4649,234
"Quinnipiac",0.4648,235
"Campbell",0.4642,236
"UT Arlington",0.4634,237
"Fairleigh Dickinson",0.463,238
"Washington St.",0.4627,239
"Bradley",0.4616,240
"N.C. A&T",0.4613,241
"Army West Point",0.4612,242
"Siena",0.4611,243
"California",0.4608,244
"Appalachian St.",0.4604,245
"Missouri St.",0.4603,246
"Charleston So.",0.4597,247
"Norfolk St.",0.4595,248
"A&M-Corpus Christi",0.4592,249
"Long Beach St.",0.4579,250
"Nicholls St.",0.4578,251
"Iona",0.4574,252
"UC Davis",0.4572,253
"Drexel",0.4568,254
"Eastern Ill.",0.4556,255
"Valparaiso",0.4553,256
"High Point",0.455,257
"UTEP",0.4544,258
"Navy",0.4542,259
"Longwood",0.4537,260
"Central Ark.",0.4532,261
"Niagara",0.4532,262
"UIC",0.4525,263
"Middle Tenn.",0.4515,264
"Rice",0.4515,265
"Richmond",0.4508,266
"South Dakota",0.4502,267
"Morgan St.",0.4493,268
"Fairfield",0.4486,269
"UMBC",0.4486,270
"Little Rock",0.4478,271
"Prairie View",0.4476,272
"Fordham",0.4468,273
"Southeast Mo. St.",0.4464,274
"Ark.-Pine Bluff",0.4457,275
"McNeese",0.4456,276
"Howard",0.4448,277
"Loyola Maryland",0.4448,278
"N.C. Central",0.4446,279
"Montana St.",0.4442,280
"Mt. St. Mary's",0.4441,281
"Towson",0.444,282
"Eastern Wash.",0.4437,283
"Albany (NY)",0.4433,284
"Milwaukee",0.4433,285
"Colorado St.",0.4427,286
"Columbia",0.4413,287
"Portland",0.4395,288
"Robert Morris",0.4387,289
"South Carolina St.",0.4383,290
"Chattanooga",0.4376,291
"North Ala.",0.4365,292
"Tulane",0.4365,293
"Jacksonville",0.4361,294
"James Madison",0.4358,295
"Hampton",0.4355,296
"East Carolina",0.435,297
"Cleveland St.",0.4342,298
"SIUE",0.4336,299
"Saint Peter's",0.4335,300
"VMI",0.4334,301
"South Alabama",0.4313,302
"CSUN",0.431,303
"George Washington",0.4308,304
"Oral Roberts",0.4296,305
"Charlotte",0.4287,306
"Portland St.",0.4281,307
"Alabama St.",0.4271,308
"Southern Utah",0.4259,309
"Lafayette",0.4258,310
"Northern Ariz.",0.4252,311
"UT Martin",0.4251,312
"Air Force",0.4243,313
"Southeastern La.",0.424,314
"Western Caro.",0.4225,315
"Idaho",0.4216,316
"La Salle",0.4205,317
"Western Ill.",0.4203,318
"Bethune-Cookman",0.4201,319
"Denver",0.4183,320
"Tennessee St.",0.4173,321
"Bryant",0.4171,322
"New Orleans",0.4152,323
"North Dakota",0.4146,324
"Wyoming",0.4142,325
"Monmouth",0.4127,326
"Tennessee Tech",0.41,327
"Jackson St.",0.4079,328
"Cal Poly",0.4077,329
"Elon",0.4075,330
"Binghamton",0.4071,331
"Maine",0.4066,332
"Florida A&M",0.4025,333
"Incarnate Word",0.4009,334
"Southern U.",0.4,335
"USC Upstate",0.3997,336
"UC Riverside",0.3994,337
"Kennesaw St.",0.3986,338
"San Jose St.",0.3969,339
"Youngstown St.",0.3927,340
"Manhattan",0.3909,341
"Chicago St.",0.3886,342
"Alcorn",0.3865,343
"UMES",0.385,344
"Stetson",0.3845,345
"Coppin St.",0.3817,346
"New Hampshire",0.3792,347
"Northwestern St.",0.3759,348
"Mississippi Val.",0.3742,349
"UNC Asheville",0.3716,350
"Savannah St.",0.3657,351
"Delaware St.",0.3631,352
"Alabama A&M",0.3597,353
