"conference","mean","median","min","max","sd"
"Big 10",15.8270658312402,15.7618203277329,3.71025529599783,23.0876441574791,5.58074737287718
"Big 12",12.1078664542865,14.9842497975309,0.382777402225441,24.4258927126822,7.84296674663443
"ACC",11.1676263590124,12.6393313869315,2.75494244563113,18.0296624056127,4.6920509034377
"SEC",11.0774979830203,11.1073273098131,-0.0874941855226954,19.3912681815151,5.31934749733968
"Big East",11.1322941173265,11.0758920477242,4.95237527068588,18.0045775909283,4.26801942293661
"Pac 12",10.0249949481341,10.9270689244784,1.35631370236996,17.1696144145652,5.20221470660696
"A-10",5.3293640349109,6.9786809989749,-8.89182758356031,13.3623854745849,6.74727228323361
"AAC",6.22904060972157,5.17093115851658,-6.74568039581858,19.7202012971522,6.68445753275825
"WCC",5.31994908323866,4.92988925843084,-12.3375810106195,29.6390812429005,11.3271982259174
"MWC",1.46569761692402,2.24806856858405,-12.345065349203,14.7625880273302,9.29427660620095
"MVC",2.10640003037534,1.47963204944,-4.08164352252552,13.9184981836849,5.92721856425315
"Southern",0.300227453588843,1.02210225513102,-7.82178117716362,8.11089369474892,5.29624180972426
"MAC",-0.687017702652718,0.907451642143631,-10.4521785429697,8.53044923462488,6.67487938400979
"C-USA",0.840262349795253,-0.858572193626585,-7.91856710988394,8.88582161468181,5.60949994602931
"Patriot",-1.4708606932592,-1.94116345547814,-9.60600955690686,11.0519994074031,5.74943982082211
"Big Sky",-4.67274744370073,-3.85162856533381,-17.1227835866256,4.80851588884193,5.8461691186789
"CAA",-2.78234903319551,-3.90871992736032,-7.01455138127384,3.50541060154797,3.6324110015072
"Sunbelt",-4.23184579424177,-4.08519617764788,-9.22166385255096,2.26424038249676,3.1787138356927
"WAC",-6.96802291843792,-4.89124526884123,-24.9376247371451,0.683451895369135,7.21697599925048
"Big West",-4.0654868723466,-4.89541103520913,-14.0966045439747,5.94332482619608,7.04743364960669
"Horizon",-3.40230099784302,-5.03081742148905,-8.02180579912663,8.16558642595352,4.81416174400361
"OVC",-5.45432771053072,-5.08850957198029,-16.2002823780957,7.75969572233253,6.87679606498197
"Big South",-6.11884695016103,-5.53427851500553,-12.6099788528233,4.9730678297178,5.33495353664046
"MAAC",-5.72572515376454,-5.8454642219822,-10.4547217721307,-0.85504697195487,3.24383539358837
"NEC",-6.3801997221323,-6.15022670963301,-12.6558741463094,-0.300973559700838,3.08905051026879
"Am. East",-5.37753720648797,-6.30653474734095,-13.2858996865764,3.91700426992514,5.04059941240921
"Ivy",-5.44950215119358,-6.74060817331858,-10.8914942828186,4.78809752618142,5.33718972851615
"A-Sun",-6.30126687862329,-7.21669184550344,-14.0024750707866,3.39597980618982,5.18042349968155
"Summit",-5.36782367857974,-8.07234812637088,-13.8372484807262,3.34783453528804,5.96417039538621
"MEAC",-12.4427987067549,-10.5456406872079,-21.0873077928186,-5.1762938355377,5.37455749657499
"Southland",-8.86599971310597,-10.9667468621649,-13.0896245987517,2.46475682446429,4.98485514490491
"SWAC",-14.4113974174088,-13.90351641198,-32.7279194542351,-3.48665334728057,8.30744914630913
