"team","conference","yusag_coeff","off_coeff","def_coeff","rank","off_rank","def_rank"
"Gonzaga","WCC",26.1823541727482,21.7447624029851,4.43759177117362,1,1,81
"Baylor","Big 12",25.1717715287218,13.0331578857892,12.1386136441099,2,5,4
"Iowa","Big 10",21.5009495473301,18.1038115528822,3.39713799682503,3,2,102
"Illinois","Big 10",21.1942365946268,12.0773677654938,9.11686883137675,4,7,14
"Michigan","Big 10",20.6848985936926,10.5610509174678,10.1238476757352,5,9,7
"Houston","AAC",19.094321991709,6.01929517678537,13.0750268145675,6,52,2
"Ohio St.","Big 10",18.9645443707911,10.0159101566303,8.94863421347127,7,12,17
"Creighton","Big East",18.3745409162894,12.4159078809218,5.95863303494475,8,6,52
"Alabama","SEC",18.0473844702178,14.6716425479509,3.37574192147731,9,3,105
"Virginia","ACC",18.0353096472663,1.97069563152393,16.0646140140528,10,125,1
"Wisconsin","Big 10",17.8637255733512,5.32421128716754,12.5395142871275,11,64,3
"Kansas","Big 12",17.8207817358532,7.90282645228657,9.91795528407705,12,29,9
"West Virginia","Big 12",17.5884852039428,9.47676922177718,8.11171598237605,13,16,29
"Villanova","Big East",17.4166546842292,8.83040224284732,8.58625244029238,14,20,21
"Tennessee","SEC",17.1150334571388,4.98496351143509,12.1300699465809,15,72,5
"Indiana","Big 10",16.9679335357136,8.08026363174113,8.88766990621627,16,27,19
"Florida","SEC",16.6922396718036,9.46598718439246,7.22625248608834,17,17,36
"Colorado","Pac 12",16.5325319412248,7.62679441616696,8.90573752340169,18,33,18
"Texas","Big 12",16.5183225681039,8.38844122349226,8.12988134392214,19,25,28
"Texas Tech","Big 12",16.4767763218925,7.24244728070117,9.23432904090183,20,36,12
"Purdue","Big 10",16.4637941259265,5.3873186809487,11.0764754458883,21,62,6
"Southern California","Pac 12",15.6161611561988,8.0044059077921,7.61175524861713,22,28,32
"Minnesota","Big 10",15.5306027212951,8.8238639288649,6.70673879164061,23,21,41
"Florida St.","ACC",15.3283372073412,9.96471687910769,5.36362032981064,24,13,61
"UConn","Big East",15.2816371006019,5.18610735355204,10.0955297453604,25,65,8
"Arizona","Pac 12",15.1315653721432,10.3641090585683,4.76745631275202,26,10,72
"LSU","SEC",15.0877939129267,14.2202758151161,0.867518098687771,27,4,146
"Syracuse","ACC",15.0111110426029,10.2951004418137,4.71601059963306,28,11,74
"Oklahoma","Big 12",14.9792543347709,7.77504024583338,7.20421408944803,29,31,37
"North Carolina","ACC",14.77248370346,8.71037283161565,6.06211087135483,30,23,51
"Maryland","Big 10",14.7085582591658,6.41100968251501,8.2975485784946,31,48,25
"Rutgers","Big 10",14.6516321546867,6.12258503862694,8.52904711817023,32,50,22
"Duke","ACC",14.4358176642588,9.6089674897573,4.82685017314531,33,15,70
"San Diego St.","MWC",13.6587036022483,3.74843415455197,9.91026944634017,34,94,11
"Stanford","Pac 12",13.4624149506777,5.9365456000799,7.52586934960826,35,54,33
"UCLA","Pac 12",13.2656941289476,7.02379653388068,6.24189759687735,36,39,49
"Richmond","A-10",12.9139571263324,8.93059192496009,3.98336520121619,37,19,92
"Virginia Tech","ACC",12.8872150156429,5.47350206943868,7.41371294758134,38,61,34
"Utah St.","MWC",12.7911347516533,3.76694811248642,9.02418663931068,39,91,15
"Seton Hall","Big East",12.7735086398682,7.20580123651151,5.56770740346717,40,37,58
"Penn St.","Big 10",12.5631344369224,8.49859917748628,4.06453525754655,41,24,90
"Oregon","Pac 12",12.3220819939337,6.01424733991037,6.30783465353384,42,53,45
"Oklahoma St.","Big 12",12.2317534343387,6.90622949241726,5.32552394383192,43,41,62
"Arkansas","SEC",12.1750916102398,9.6183688828556,2.55672272746137,44,14,117
"VCU","A-10",12.1448355786276,4.98470419885701,7.16013137998104,45,73,38
"Georgia Tech","ACC",12.1231934292634,6.89619399808799,5.22699943168586,46,42,63
"Michigan St.","Big 10",11.9104275548485,6.71393363016688,5.19649392575872,47,45,64
"Pittsburgh","ACC",11.4754540925691,5.14014017040525,6.33531392094104,48,67,44
"Kentucky","SEC",11.2666533405751,2.24355711848546,9.02309622220011,49,121,16
"Davidson","A-10",11.1761618830144,4.91009284309237,6.2660690408658,50,74,48
"Missouri","SEC",11.1640711654606,3.89930073599036,7.26477042948073,51,89,35
"Memphis","AAC",11.1562914068919,3.01939358361951,8.13689782161624,52,109,27
"BYU","WCC",10.9628651945579,4.68431134296477,6.27855385163694,53,78,46
"Clemson","ACC",10.8781993634458,1.68207964191641,9.19611972297316,54,129,13
"Xavier","Big East",10.8440761809718,5.18522486508427,5.6588513158314,55,66,56
"Loyola Chicago","MVC",10.7619010553441,2.28431772151262,8.47758333384196,56,120,23
"Saint Louis","A-10",10.7176936115683,6.10791090413951,4.60978270700588,57,51,77
"Rhode Island","A-10",10.6416370238132,5.67358206310808,4.96805496091557,58,59,67
"Louisville","ACC",10.6322777004227,3.64115231254824,6.99112538788489,59,98,40
"Marquette","Big East",10.5223322982132,5.65353557857117,4.86879672101918,60,60,68
"Providence","Big East",10.168858417861,5.0850480413474,5.08381037655738,61,68,65
"St. Bonaventure","A-10",10.1271978501327,2.45531320581662,7.67188464439327,62,116,31
"Auburn","SEC",9.95742680109253,8.08473014538462,1.8726966557184,63,26,125
"Wichita St.","AAC",9.9362400976374,5.06902405781256,4.86721604033533,64,70,69
"St. John's (NY)","Big East",9.8523571710831,11.2960394467513,-1.44368227569105,65,8,213
"Utah","Pac 12",9.84291475983836,4.13534705415767,5.70756770805785,66,86,54
"San Francisco","WCC",9.83360819294727,4.33120553626728,5.50240265692381,67,83,59
"Notre Dame","ACC",9.74966760734635,6.80441231370043,2.94525529348973,68,43,112
"Arizona St.","Pac 12",9.65554831160464,8.76074242691384,0.894805884767943,69,22,145
"Ole Miss","SEC",9.55560783585174,0.851940218785197,8.7036676171437,70,140,20
"SMU","AAC",9.41960676775494,6.48599851569918,2.93360825203293,71,47,113
"Butler","Big East",9.24332960450938,-0.674023213350694,9.91735281727057,72,176,10
"Boise St.","MWC",9.0361001926276,5.07608479323566,3.96001539940251,73,69,93
"Dayton","A-10",8.92470535763943,3.11283474371294,5.81187061257029,74,106,53
"Colorado St.","MWC",8.61118645168241,5.87708585917507,2.73410059301785,75,55,115
"Northwestern","Big 10",8.45957500608948,4.32638056191931,4.1331944441473,76,84,88
"Mississippi St.","SEC",8.15373069857379,3.38541520074594,4.76831549790503,77,103,71
"Drake","MVC",7.8937058815023,3.70803999111491,4.18566589033117,78,96,86
"Furman","Southern",7.74710589013701,5.75450968822245,1.99259620192507,79,58,122
"NC State","ACC",7.6306548434877,5.81283110807838,1.8178237355198,80,56,127
"Marshall","C-USA",7.51197391549612,6.54202502089543,0.969948894744508,81,46,143
"Cincinnati","AAC",7.25795983347737,3.71436735096238,3.5435924843588,82,95,98
"South Carolina","SEC",7.24464747891147,7.64009135771995,-0.395443878797995,83,32,179
"Toledo","MAC",7.13476899526619,7.32091228424513,-0.186143288868452,84,35,170
"UNLV","MWC",7.03253557101323,3.76167796845879,3.27085760259826,85,92,109
"Tulsa","AAC",6.9730813111376,-0.719554876702309,7.69263618788373,86,180,30
"North Texas","C-USA",6.70995289956491,-1.50850850327853,8.21846140282059,87,206,26
"Western Ky.","C-USA",6.48890527437146,5.32432243493296,1.16458283958232,88,63,138
"Wright St.","Horizon",6.45998146827176,5.00974657590791,1.45023489237432,89,71,136
"Saint Mary's (CA)","WCC",6.31669553979242,-2.10096762999745,8.41766316986703,90,224,24
"Winthrop","Big South",6.21408846936387,9.27160024498179,-3.05751177544076,91,18,258
"DePaul","Big East",6.1557332832509,4.45046449106111,1.70526879233363,92,82,131
"UAB","C-USA",6.01230455600028,1.03547966046957,4.97682489604118,93,136,66
"Miami (FL)","ACC",5.93973061031282,2.60988506312197,3.32984554716801,94,115,107
"Massachusetts","A-10",5.91150643522642,7.87518774733064,-1.96368131252707,95,30,228
"Georgia St.","Sunbelt",5.53649386981757,6.7898638240454,-1.25336995498401,96,44,208
"UNC Greensboro","Southern",5.49399868911195,0.748046920270843,4.74595176898492,97,144,73
"Georgia","SEC",5.40587442390886,6.91592691084005,-1.51005248748733,98,40,216
"Wake Forest","ACC",5.23348109018465,3.67621490146628,1.55726618869552,99,97,134
"TCU","Big 12",5.2246998036824,0.721046493298655,4.50365331036089,100,145,80
"Belmont","OVC",5.13429536668569,6.2473075955395,-1.11301222877658,101,49,204
"Yale","Ivy",5.1214745557207,2.81881280703706,2.30266174719414,102,111,118
"LMU (CA)","WCC",4.90407475558022,-1.36473846640332,6.26881322219406,103,195,47
"Louisiana Tech","C-USA",4.86808383974155,0.442286834820456,4.42579700456492,104,153,82
"Georgetown","Big East",4.84558702908337,3.05870934515417,1.78687768387303,105,107,128
"Vermont","Am. East",4.7675545467044,1.0883893910375,3.67916515497739,106,133,97
"South Dakota St.","Summit",4.72823006076293,7.19524108006076,-2.46701101985401,107,38,244
"Kent St.","MAC",4.48016082506655,4.56531850319086,-0.085157678113851,108,80,166
"South Fla.","AAC",4.44258001649523,-1.13022168555938,5.57280170203177,109,189,57
"Liberty","A-Sun",4.42221974327965,-1.69017991594589,6.11239965973601,110,214,50
"Duquesne","A-10",4.39770744576179,-0.273912080509795,4.67161952628205,111,165,75
"Oregon St.","Pac 12",4.37291930033687,0.979269288299362,3.39365001211466,112,137,103
"Temple","AAC",4.26999908844592,0.507143885851692,3.76285520260474,113,152,94
"UCF","AAC",4.25303789498648,0.0445949722532077,4.20844292257709,114,158,85
"Colgate","Patriot",4.2225918790683,3.75974744088301,0.462844437895808,115,93,158
"UC Riverside","Big West",4.18517716377746,-2.87128245091872,7.05645961483997,116,237,39
