"team","conference","yusag_coeff","off_coeff","def_coeff","rank","off_rank","def_rank","info","conference_rank","record","conf_record"
"Dayton","A-10",11.3068737477555,4.44805922962961,6.85881451812587,36,65,26,"(Conference Rank:  8)",1,"25 - 6","14 - 4"
"VCU","A-10",7.3827648253118,0.0120988002436597,7.37066602506814,74,175,19,"(Conference Rank:  8)",2,"20 - 11","12 - 6"
"St. Bonaventure","A-10",6.49343459924132,1.49723560944229,4.99619898979905,82,123,53,"(Conference Rank:  8)",3,"20 - 10","11 - 7"
"Saint Joseph's","A-10",5.88695381869722,1.68320919701725,4.20374462167995,88,114,68,"(Conference Rank:  8)",4,"21 - 10","11 - 7"
"Duquesne","A-10",5.73341120927132,3.81795335131526,1.91545785795607,89,75,124,"(Conference Rank:  8)",5,"19 - 11","10 - 8"
"Richmond","A-10",4.31827352342239,0.644855212498263,3.67341831092412,101,149,78,"(Conference Rank:  8)",6,"18 - 13","10 - 8"
"Massachusetts","A-10",4.08317536777772,5.63473246734965,-1.55155709957192,105,46,226,"(Conference Rank:  8)",7,"19 - 11","10 - 8"
"George Mason","A-10",4.06231482473229,-0.459886409949498,4.52220123468178,106,187,60,"(Conference Rank:  8)",8,"20 - 10","10 - 8"
"Loyola Chicago","A-10",1.84044285181551,-0.482754149657636,2.32319700147316,126,188,112,"(Conference Rank:  8)",9,"15 - 15","8 - 10"
"Davidson","A-10",1.28200661834478,-1.29695696532926,2.57896358367403,135,213,105,"(Conference Rank:  8)",10,"15 - 14","8 - 10"
"Saint Louis","A-10",-0.771109290269516,1.89745327365486,-2.66856256392439,172,110,260,"(Conference Rank:  8)",11,"12 - 18","6 - 12"
"Fordham","A-10",-1.0232743692478,-3.10353250200886,2.08025813276105,176,265,116,"(Conference Rank:  8)",12,"12 - 19","6 - 12"
"George Washington","A-10",-1.28380828164846,2.86761686737899,-4.15142514902743,184,90,303,"(Conference Rank:  8)",13,"16 - 14","6 - 12"
"La Salle","A-10",-2.20483673455363,2.3615373384072,-4.56637407296081,210,102,308,"(Conference Rank:  8)",14,"14 - 16","6 - 12"
"Rhode Island","A-10",-3.31072557023696,-2.47173268689314,-0.838992883343809,232,249,203,"(Conference Rank:  8)",15,"10 - 20","5 - 13"
"Lipscomb","A-Sun",1.15689855817225,1.72050678666787,-0.563608228495612,140,113,190,"(Conference Rank:  24)",1,"18 - 11","12 - 4"
"Kennesaw St.","A-Sun",-1.14126352572045,4.57294261933241,-5.71420614505285,180,64,324,"(Conference Rank:  24)",2,"16 - 11","10 - 6"
"Stetson","A-Sun",-1.95122663562163,1.57104329460004,-3.52226993022167,208,121,280,"(Conference Rank:  24)",3,"15 - 13","10 - 6"
"FGCU","A-Sun",-3.32825642087488,-3.0153286729229,-0.312927747952005,233,262,183,"(Conference Rank:  24)",4,"11 - 17","9 - 7"
"North Ala.","A-Sun",-3.55191932313496,0.388697403871952,-3.94061672700689,236,159,297,"(Conference Rank:  24)",5,"13 - 15","9 - 7"
"Eastern Ky.","A-Sun",-3.66208876819766,-0.130742442997118,-3.53134632520054,238,180,281,"(Conference Rank:  24)",6,"10 - 17","9 - 7"
"Austin Peay","A-Sun",-3.76323072465048,-5.51176234019117,1.74853161554071,242,321,128,"(Conference Rank:  24)",7,"13 - 15","8 - 8"
"Bellarmine","A-Sun",-4.88443383810395,-4.87868145563465,-0.00575238246932797,259,305,175,"(Conference Rank:  24)",8,"9 - 19","8 - 8"
"Queens (NC)","A-Sun",-5.68297917316256,1.67812703782742,-7.36110621099002,273,115,346,"(Conference Rank:  24)",9,"11 - 18","7 - 9"
"Jacksonville","A-Sun",-6.74941451483987,-3.14854085776579,-3.6008736570741,288,266,284,"(Conference Rank:  24)",10,"12 - 15","6 - 10"
"North Florida","A-Sun",-8.11551272584621,-2.14188887815399,-5.97362384769223,309,238,329,"(Conference Rank:  24)",11,"10 - 18","6 - 10"
"Central Ark.","A-Sun",-12.9158636059173,-5.52211488078049,-7.39374872513685,353,322,347,"(Conference Rank:  24)",12,"5 - 25","3 - 13"
"Fla. Atlantic","AAC",16.480949827812,11.2499173041245,5.23103252368752,7,6,50,"(Conference Rank:  9)",1,"27 - 4","16 - 2"
"Memphis","AAC",11.7573769892262,9.0182066559988,2.73917033322739,34,17,104,"(Conference Rank:  9)",2,"25 - 6","14 - 4"
"SMU","AAC",8.64986809120268,2.39336511008084,6.25650298112184,60,100,32,"(Conference Rank:  9)",3,"20 - 10","12 - 6"
"North Texas","AAC",4.75554563661852,-2.77007603921029,7.52562167582883,95,256,18,"(Conference Rank:  9)",4,"15 - 13","10 - 8"
"Wichita St.","AAC",3.82685755041734,1.55650740906592,2.27035014135142,110,122,113,"(Conference Rank:  9)",5,"16 - 14","9 - 9"
"Tulane","AAC",3.19815855687866,9.28663267747714,-6.08847412059848,114,14,333,"(Conference Rank:  9)",6,"16 - 13","8 - 10"
"Charlotte","AAC",2.93690217924746,-1.3425651138133,4.27946729306078,115,216,64,"(Conference Rank:  9)",7,"15 - 14","10 - 8"
"South Fla.","AAC",1.4379530086114,-0.0371437761625195,1.47509678477391,132,177,139,"(Conference Rank:  9)",8,"16 - 13","9 - 9"
"UAB","AAC",0.487875935542375,2.2263301367049,-1.73845420116251,149,106,232,"(Conference Rank:  9)",9,"13 - 17","7 - 11"
"East Carolina","AAC",0.0104490182772752,-1.68423369321453,1.6946827114918,153,230,132,"(Conference Rank:  9)",10,"14 - 16","7 - 11"
"Temple","AAC",-0.90420816902179,0.178441131631249,-1.08264930065304,175,169,211,"(Conference Rank:  9)",11,"13 - 17","7 - 11"
"Tulsa","AAC",-1.10609498527271,-1.45774168215128,0.351646696878573,177,220,162,"(Conference Rank:  9)",12,"15 - 14","7 - 11"
"Rice","AAC",-1.30917321789273,-0.432097246993904,-0.877075970898824,186,186,204,"(Conference Rank:  9)",13,"12 - 18","7 - 11"
"UTSA","AAC",-7.68591884638844,-0.355398538150608,-7.33052030823783,301,185,344,"(Conference Rank:  9)",14,"8 - 22","3 - 15"
"Duke","ACC",15.9217107056392,9.33103957849936,6.59067112713982,10,13,30,"(Conference Rank:  6)",1,"24 - 7","15 - 5"
"North Carolina","ACC",14.0977941309256,11.2055804586762,2.89221367224939,19,8,99,"(Conference Rank:  6)",2,"22 - 9","14 - 6"
"Clemson","ACC",12.9056522568407,7.01155313113673,5.89409912570398,26,34,39,"(Conference Rank:  6)",3,"24 - 7","14 - 6"
